encoder,depth,n_probes,budgeted,recall,recall_stderr,scan_mean,scan_p50,scan_p95,scan_max,n_ranges
hilbert-pca2-b30,2,1,0,0.38,0.0186,0.07611,0.07863,0.126,0.126,1.0
hilbert-pca2-b30,2,2,0,0.5845,0.0212,0.14226,0.1415,0.186,0.186,1.42
hilbert-pca2-b30,2,4,0,0.767,0.0177,0.25973,0.2705,0.324,0.324,1.51
hilbert-pca2-b30,2,8,0,0.927,0.0098,0.49113,0.48488,0.58625,0.59475,2.26
hilbert-pca2-b30,2,16,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-pca2-b30,2,32,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-pca2-b30,2,64,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-pca2-b30,2,40,1,0.036,0.0055,0.005,0.005,0.005,0.005,1.0
hilbert-pca2-b30,2,80,1,0.0595,0.0068,0.01,0.01,0.01,0.01,1.0
hilbert-pca2-b30,2,160,1,0.1225,0.0107,0.02,0.02,0.02,0.02,1.0
hilbert-pca2-b30,2,400,1,0.2725,0.0154,0.05,0.05,0.05,0.05,1.12
hilbert-pca2-b30,3,1,0,0.1785,0.0139,0.02173,0.0215,0.03802,0.05038,1.0
hilbert-pca2-b30,3,2,0,0.283,0.0174,0.0417,0.04362,0.07525,0.07925,1.48
hilbert-pca2-b30,3,4,0,0.415,0.0202,0.07796,0.08069,0.126,0.126,1.92
hilbert-pca2-b30,3,8,0,0.617,0.0209,0.14439,0.15375,0.18688,0.1965,2.58
hilbert-pca2-b30,3,16,0,0.8025,0.0168,0.2638,0.2705,0.32145,0.331,3.13
hilbert-pca2-b30,3,32,0,0.9385,0.0082,0.49286,0.48962,0.565,0.58575,4.13
hilbert-pca2-b30,3,64,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-pca2-b30,3,40,1,0.0455,0.0052,0.005,0.005,0.005,0.005,1.0
hilbert-pca2-b30,3,80,1,0.079,0.0075,0.01,0.01,0.01,0.01,1.03
hilbert-pca2-b30,3,160,1,0.161,0.0112,0.02,0.02,0.02,0.02,1.21
hilbert-pca2-b30,3,400,1,0.316,0.0168,0.05,0.05,0.05,0.05,1.94
hilbert-pca2-b30,4,1,0,0.0545,0.007,0.00571,0.00519,0.01225,0.01688,1.0
hilbert-pca2-b30,4,2,0,0.101,0.0103,0.0113,0.01031,0.025,0.029,1.48
hilbert-pca2-b30,4,4,0,0.174,0.0137,0.02191,0.02137,0.03988,0.05038,1.97
hilbert-pca2-b30,4,8,0,0.297,0.0176,0.04199,0.04287,0.07525,0.0805,2.73
hilbert-pca2-b30,4,16,0,0.4455,0.0203,0.0789,0.08381,0.126,0.12675,3.99
hilbert-pca2-b30,4,32,0,0.6235,0.0202,0.14435,0.15506,0.18738,0.19287,5.14
hilbert-pca2-b30,4,64,0,0.802,0.0169,0.26467,0.27125,0.32212,0.32837,6.2
hilbert-pca2-b30,4,40,1,0.047,0.006,0.005,0.005,0.005,0.005,1.25
hilbert-pca2-b30,4,80,1,0.085,0.0079,0.01,0.01,0.01,0.01,1.73
hilbert-pca2-b30,4,160,1,0.1535,0.0113,0.02,0.02,0.02,0.02,2.25
hilbert-pca2-b30,4,400,1,0.3345,0.0169,0.05,0.05,0.05,0.05,3.48
hilbert-pca2-b30,5,1,0,0.0145,0.0033,0.00145,0.00125,0.00301,0.0055,1.0
hilbert-pca2-b30,5,2,0,0.032,0.006,0.00291,0.00263,0.006,0.01025,1.54
hilbert-pca2-b30,5,4,0,0.0505,0.0071,0.00572,0.00525,0.01177,0.01688,2.15
hilbert-pca2-b30,5,8,0,0.103,0.0101,0.01133,0.01087,0.02451,0.02962,2.87
hilbert-pca2-b30,5,16,0,0.176,0.0138,0.02207,0.02137,0.04208,0.05038,4.1
hilbert-pca2-b30,5,32,0,0.298,0.0178,0.04203,0.04331,0.07179,0.081,5.73
hilbert-pca2-b30,5,64,0,0.449,0.0198,0.07883,0.084,0.12488,0.12687,7.88
hilbert-pca2-b30,5,40,1,0.0465,0.0063,0.005,0.005,0.005,0.005,2.4
hilbert-pca2-b30,5,80,1,0.088,0.0084,0.01,0.01,0.01,0.01,3.37
hilbert-pca2-b30,5,160,1,0.1585,0.0107,0.02,0.02,0.02,0.02,4.58
hilbert-pca2-b30,5,400,1,0.332,0.017,0.05,0.05,0.05,0.05,7.18
hilbert-pca2-b30,6,1,0,0.0045,0.0015,0.00035,0.00025,0.00088,0.002,1.0
hilbert-pca2-b30,6,2,0,0.009,0.0027,0.00073,0.00063,0.00151,0.003,1.46
hilbert-pca2-b30,6,4,0,0.019,0.0039,0.00145,0.00125,0.00313,0.00525,2.11
hilbert-pca2-b30,6,8,0,0.0335,0.0058,0.00288,0.00263,0.00601,0.01013,3.04
hilbert-pca2-b30,6,16,0,0.054,0.0073,0.00576,0.00525,0.01175,0.01625,4.31
hilbert-pca2-b30,6,32,0,0.1025,0.01,0.01131,0.01069,0.02401,0.0295,6.08
hilbert-pca2-b30,6,64,0,0.1755,0.0136,0.02205,0.02138,0.04254,0.05137,8.22
hilbert-pca2-b30,6,40,1,0.0445,0.0061,0.005,0.005,0.005,0.005,5.86
hilbert-pca2-b30,6,80,1,0.0875,0.0084,0.01,0.01,0.01,0.01,9.51
hilbert-pca2-b30,6,160,1,0.16,0.0109,0.02,0.02,0.02,0.02,16.0
hilbert-pca2-b30,6,400,1,0.3245,0.017,0.04783,0.05,0.05,0.05,29.27
hilbert-pca2-b30,7,1,0,0.0025,0.0011,9e-05,0.0,0.00025,0.00075,1.0
hilbert-pca2-b30,7,2,0,0.003,0.0012,0.00018,0.00013,0.00063,0.00112,1.48
hilbert-pca2-b30,7,4,0,0.006,0.002,0.00034,0.00025,0.00088,0.00175,2.15
hilbert-pca2-b30,7,8,0,0.011,0.0026,0.00073,0.00063,0.00162,0.003,3.0
hilbert-pca2-b30,7,16,0,0.0165,0.0035,0.00146,0.00125,0.003,0.00525,4.46
hilbert-pca2-b30,7,32,0,0.0325,0.0054,0.00286,0.00263,0.00601,0.01,6.21
hilbert-pca2-b30,7,64,0,0.055,0.0072,0.00575,0.00525,0.01176,0.01663,8.79
hilbert-pca2-b30,7,40,1,0.0445,0.006,0.00498,0.005,0.005,0.005,17.92
hilbert-pca2-b30,7,80,1,0.0835,0.0081,0.00979,0.01,0.01,0.01,33.12
hilbert-pca2-b30,7,160,1,0.135,0.01,0.01689,0.02,0.02,0.02,51.58
